0d22d2865c18	Toodeloo	Reservoir Gods	Maggie Issue #27 Falcon Version	
0d2ebf872158		Oxygene	ATARI Demo ToolChain	
0d316e3bd387	Svolkraq	Disk Busters Association	DBA Magazine Issue 14	
0d3305d24120	Firefox~Tip	Aura	Hifidelity Dreams	
0d37e59a1d29	Scy			
0d3f8166a316		Omikronman	Pushago	
0d48c9ab111d	Raster (.pl)			
0d51c3680b6f		Hemoroids	Hemosound 1	
0d58311e31aa	Latyl			
0d5870d3adab	Toodeloo	Dead Hackers Society	Just Musix	
0d6068f2cecf	Sir Bart			
0d65ffd028e7	Dave (.pl)			
0d69daef37a0	Kid	Wild Boys	Digi-Synth 4 Demo	
0d6c879e762e	Gary	The naughty bytes	Undercover Magascene Issue #04	
0d6e1d957a04		Dead Hackers Society	Tiny Art Of Noise Player V1.0	
0d755cc7ce5d	Matthew Simmonds	Inner Circle~Sonic Projects	A little music demo	
0d755f016c56	Ripguy			
0d75b4543c34	Mike Clarke	System 3	Last Ninja 2	
0d76eed79528	Heatbeat	The Untouchables	Ledgers Diskmag Issue #11	
0d7d3ed491ef	Roz			
0d7fb7755ffc	Ripguy			
0d82d598c29a	Richard Joseph	Millenium	Stormball	
0d851973fbc6				2021
0d8e74b6fc2f	7an	Sync	Hyperon	
0d94594b57ee	Sir Bart			
0d973dd34aa6	Martin Iveson	Core Design	Wolfchild	
0d9b6de50e38	STAX			
0d9b8244a28e	Teque			
0d9c202443f1	Cyberpunk	The Germs	Cyberpunk modules	
0d9e9937f76c	Ironside	Eagles	Impact Menu #43 intro	
0da8d1f624c3		Funvision~NeXT	Rip Dis Megademo	
0db6f343b6e1	Kevin Collier	U.S. Gold	Operation Harrier	
0dbb6ed21057	Swappydoo			
0dbefc2ccb09	Kenet			
0dc1c766edae	Toodeloo	Dead Hackers Society	Chippin' For Air! 3	
0dc1d52da894	Kurt Drubbel	Songbird Productions	Hyper Force	
0dc3318dea1b	Daredevil	EKO	Epidemic Musicdisk	
0dccd1872c6c	Vivid			
0ddfba314a45				2001
0de4a25623ef	Sledge Hammer	STAX	Dawn of the dead	
0de866d3061e	Roz			
0dedaf27fafe	Clawz			
0df71b53d347	Raymond Usher	Psygnosis	Lemmings 3	
0dfc0ae3761c	Cerror			
0e04a671357a	Domm			
0e0fd8e4669a	Frequent			
0e106061085e	Factor 6			
0e1245294146	Gregory Brown	Gregory Brown	Offworld Security	
0e1773cb86d6	Sir Bart			
0e1f0f0d7fa4	Daddy Freddy	FUN Industries	Crazy Chippie Compile	
0e218dce7e82				2001
0e2312918e84	Dave (.pl)			
0e3610191cf9	Lot			
0e3e28854363	Chris Denman	Impressions	Paladin 2	
0e41e5a6bfe1	AiO			
0e4678994dbd	Fletch~Trashcan			
0e4abfff7801	Frequent			
0e543aab931f	AiO			
0e57c051ec82	Ripguy			
0e6395a23e12	Tebirod			
0e713f5122c0	Barry Leitch	Gremlin Graphics	Harlequin	
0e733a5880a1	Toodeloo	Dead Hackers Society	Chippin' For Air! 4	
